,stay_name,postal_code,manager,contact_number,address,latitude,longitude,description,stay_scale,capacity,room_count,room_type,reservation_info,식음료장,부대 시설,세미나,스포츠시설,사우나실,뷰티 시설,노래방,바베큐장,캠프화이어,자전거대여,휘트니스센터,공용 PC실,공용 샤워실,상세정보,환불규정,korea_tourism_certified,parking_available,parking_count,cook_available,check_in_time,check_in_additonal_info,check_in_time,check_out_time,check_out_additonal_info,check_out_time,homepage_url,pickup_additional_info,pickup_available
59,씨에나펜션,63538,,064-739-6623,제주특별자치도 서귀포시 예래로 267,33.2421399797,126.3857325676,"씨에나 펜션은 제주 최대 관광단지인 중문 관광단지 입구에 위치해 있으며 여미지 식물원, 천제연폭포, 테디베어박물관, 중문해수욕장, 주상절리대, 논짓물 등 서귀포 대표 관광지가 3분 거리에 위치해 있다. 주변에 편리하게 이용할 수 있는 식당가와 마트가 가까이에 있어 숙박에 편리함을 주는 중문 최고의 펜션이다.",3층,20.0,6.0,"20평형 양실/한실, 24평형, 35평형",064-739-6623,,바베큐장,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:24평 A 양실
객실크기:24평
객실수:0
기준인원:5최대인원:7
※ 객실 가격 전화문의 요망
비수기주중최소:120000(성수기: 0)
비수기주말최소:125000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:20평 A 양실
객실크기:20평
객실수:0
기준인원:2최대인원:4
※ 객실 가격 전화문의 요망
비수기주중최소:65000(성수기: 0)
비수기주말최소:70000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:20평 B 양실
객실크기:20평
객실수:0
기준인원:4최대인원:5
※ 객실 가격 전화문의 요망
비수기주중최소:80000(성수기: 0)
비수기주말최소:85000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:20평 한실
객실크기:20평
객실수:0
기준인원:4최대인원:5
※ 객실 가격 전화문의 요망
비수기주중최소:80000(성수기: 0)
비수기주말최소:85000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:24평 B 양실
객실크기:24평
객실수:0
기준인원:5최대인원:7
※ 객실 가격 전화문의 요망
비수기주중최소:120000(성수기: 0)
비수기주말최소:125000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:35평 가족실
객실크기:35평
객실수:0
기준인원:8최대인원:12
※ 객실 가격 전화문의 요망
비수기주중최소:210000(성수기: 0)
비수기주말최소:220000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
",,False,True,,True,15:00,,15:00,11:00,,11:00,,,
60,애월해안누리(구 하얀둥지),63046,,064-799-1600,제주특별자치도 제주시 애월읍 애월해안로 298,33.4705668076,126.3416562839,"제주시에서 애월 해안도로를 따라가다 보면 파란 바다 언덕 위에 하얀 집, 애월 해안누리 펜션이 있다. 애월 해안누리 펜션은 도심의 각박함 속에서 벗어나 편안한 휴식과 추억을 제공하며 힐링과 재충전의 시간을 갖게 한다.",2층,30.0,5.0,"15평형, 20평형, 45평형",064-799-1600,"바베큐장, 카페",,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:15평형
객실크기:15평
객실수:0
기준인원:2최대인원:4
※ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:70000(성수기: 150000)
비수기주말최소:80000(성수기: 150000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:20평형(투룸)
객실크기:20평
객실수:0
기준인원:4최대인원:6
※ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:90000(성수기: 200000)
비수기주말최소:110000(성수기: 200000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:45평형
객실크기:45평
객실수:0
기준인원:8최대인원:20
※ 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:200000(성수기: 420000)
비수기주말최소:230000(성수기: 420000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
",,False,True,,True,15:00,,15:00,11:00,,11:00,,,
61,제주썬레이크빌,63639,,064-782-2277,제주특별자치도 서귀포시 성산읍 한도로 49,33.4675235107,126.9133678229,"썬레이크빌은 제주에서 먼저 해가 떠오르는 성산일출봉 근처에 위치하여 제주여행에 편안한 휴식처가 되고자 정성을 다하고 있다. 편안한 실내분위기와 부대시설, 그리고 야외정원과 주변 비경은 찾아주는 모든 분들에게 추억을 만들어 준다. 또한 바다호수, 해안도로가 인접해 있어서 편리한 여행과 휴식이 될 것이다.",,,8.0,"15평형, 18평형, 30평형",064-782-2277,"카페&조식당, 야외 바베큐장","야외정원, 야외테라스, 놀이터",없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:15평 A/B
객실크기:15평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2022년 11월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:75000(성수기: 0)
비수기주말최소:160000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:18평 B/C/E
객실크기:18평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2022년 11월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:75000(성수기: 0)
비수기주말최소:160000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:18평 트윈룸
객실크기:18평
객실수:0
기준인원:2최대인원:2
※ 위 정보는 2022년 11월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:77000(성수기: 0)
비수기주말최소:160000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:30평 패밀리 A
객실크기:30평
객실수:0
기준인원:5최대인원:8
※ 위 정보는 2022년 11월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:180000(성수기: 0)
비수기주말최소:280000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
객실명:30평 패밀리 B
객실크기:18평
객실수:0
기준인원:5최대인원:8
※ 위 정보는 2022년 11월에 수정된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:180000(성수기: 0)
비수기주말최소:280000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:드라이기:Y
",,False,True,,True,15:00,,15:00,11:00,,11:00,http://www.sunlake.co.kr,,
62,샤뜰레 펜션,63569,,064-738-9852,제주특별자치도 서귀포시 서호호근로46번길 68,33.2483915481,126.5288644613,"자연을 담은 신비의 작은 성 샤뜰레는 자연과 하나 되어 숨 쉬는 제주 월드컵 경기장과 문섬, 범섬, 섬을 한눈에 볼 수 있는 서귀포시에 위치하고 있다. 또한 지중해 풍의 화사하고 예쁜 외관과 넓은 실내 공간, 고급 자재로 구성된 인테리어를 갖춘 공인 휴양펜션이다. 아름다운 곡선으로 이루어진 수영장 그리고 감귤농장, 스쿠버다이빙, 바비큐 시설과 체험을 펜션 내에서 함께 할 수 있다.",,,8.0,"스탠다드, 로얄 스탠다드, 스위트, 로얄스위트",064-738-9852,,"야외수영장, 감귤체험농장, 바베큐장, 스쿠버체험",없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:스탠다드원룸
객실크기:18평
객실수:0
기준인원:0최대인원:0
※ 객실 가격 전화문의 요망
목욕시설:욕조:홈시어터:에어컨:TV:PC:케이블설치:인터넷:냉장고:세면도구:소파:취사용품:테이블:드라이기:객실명:스탠다드로얄
객실크기:18평
객실수:0
기준인원:0최대인원:0
※ 객실 가격 전화문의 요망
목욕시설:욕조:홈시어터:에어컨:TV:PC:케이블설치:인터넷:냉장고:세면도구:소파:취사용품:테이블:드라이기:객실명:스위트룸
객실크기:28평
객실수:0
기준인원:0최대인원:0
※ 객실 가격 전화문의 요망
목욕시설:욕조:홈시어터:에어컨:TV:PC:케이블설치:인터넷:냉장고:세면도구:소파:취사용품:테이블:드라이기:객실명:로얄스위트룸
객실크기:30평
객실수:0
기준인원:0최대인원:0
※ 객실 가격 전화문의 요망
목욕시설:욕조:홈시어터:에어컨:TV:PC:케이블설치:인터넷:냉장고:세면도구:소파:취사용품:테이블:드라이기:",,False,True,,True,16:00,,16:00,11:00,,11:00,,,
63,제주펜션 향림원,63599,,064-733-5799,제주특별자치도 서귀포시 칠십리로394번길 8-3,33.2437569688,126.593211767,"제주펜션 향림원은 제주도 서귀포 정방폭포 근처에 위치해 있다. 넓은 잔디정원, 미니골프 퍼팅 연습장, 바비큐장이 있고, 제주올레 제6코스 외 천지연폭포, 대형마트 식당가가 5분 거리에 있어서 이용이 편리하다.",2층,,6.0,"10평형, 15평형, 20평형, 23평형, 30평형",064-733-5799,,"잔디정원, 바비큐장, 해안산책로",없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:10평형
객실크기:10평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망
비수기주중최소:40000(성수기: 60000)
비수기주말최소:50000(성수기: 60000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:15평형
객실크기:15평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망
비수기주중최소:50000(성수기: 70000)
비수기주말최소:60000(성수기: 70000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:20평형 A/B
객실크기:20평
객실수:0
기준인원:4최대인원:0
※ 객실 가격 전화문의 요망
비수기주중최소:60000(성수기: 80000)
비수기주말최소:70000(성수기: 80000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:23평형
객실크기:23평
객실수:0
기준인원:4최대인원:0
※ 객실 가격 전화문의 요망
비수기주중최소:70000(성수기: 90000)
비수기주말최소:80000(성수기: 90000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:30평형
객실크기:30평
객실수:0
기준인원:6최대인원:0
※ 객실 가격 전화문의 요망
비수기주중최소:100000(성수기: 130000)
비수기주말최소:120000(성수기: 130000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
",,False,True,,True,13:00,,13:00,11:00,,11:00,,,
64,아침의향기,63534,,064-738-4679,제주특별자치도 서귀포시 색달중앙로 122,33.2655961758,126.4144767725,"아침의 향기 펜션은 화려하진 않지만 따뜻하고 여유가 넘치는 제주 본연의 모습을 느낄 수 있는 공간이다. 산장 주변 풀숲과 감귤체험농장에 둘러싸여 있어 나무향을 맡으며 거닐 수 있다. 또한, 이곳은 수려한 서귀포시 중문 관광단지를 곁에 두고 있다. 중문해수욕장과 천제연폭포, 동양 최대의 여미지 식물원 등을 자동차로 2~3분 거리에 두고 있다.",3층,,7.0,"15평형, 20평형, 25평형",064-738-4679,,"감귤체험농장, 바베큐장",없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:15평형
객실크기:15평
객실수:0
기준인원:2최대인원:4
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:80000(성수기: 0)
비수기주말최소:80000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:20평형
객실크기:20평
객실수:0
기준인원:4최대인원:6
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:100000(성수기: 0)
비수기주말최소:100000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
객실명:25평형
객실크기:25평
객실수:0
기준인원:6최대인원:8
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:140000(성수기: 0)
비수기주말최소:140000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
",,False,False,,True,15:00,,15:00,11:00,,11:00,http://www.secdal.com,,
65,제주 신신휴양펜션,63527,,010-9894-6411,제주특별자치도 서귀포시 안덕면 평화로319번길 133,33.279173657,126.3143490497,"신신휴양펜션은 제주 펜션협회에 정식으로 등록된 펜션이다. 아늑함을 느낄수 있도록 설계된 휴양펜션이다. 고전적인 낭만을 살려 지은 목조주택형 펜션이며, 신혼부부들을 위한 호텔식 원룸펜션도 준비되어 있으며 대학생니나 기관 단체의 M/T도 충분히 가능할수 있도록 준비가 되어있다.
또한 많은 관광지와 제휴를 맺고있어 할인 혜택등 숙박과 함께 편리한 시설을 즐길수 있다.",2층,,8.0,"16평형(6실), 35평형, 45평형",010-9894-6411,,"어린이 수영장, 야채텃밭, 산책로",없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:16평
객실크기:16평
객실수:0
기준인원:2최대인원:7
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:70000(성수기: 0)
비수기주말최소:80000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:21평
객실크기:21평
객실수:0
기준인원:10최대인원:14
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:250000(성수기: 0)
비수기주말최소:270000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:45평
객실크기:45평
객실수:0
기준인원:10최대인원:14
※ 객실 가격 전화문의 요망<br/>※ 위 정보는 2021년 10월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:250000(성수기: 0)
비수기주말최소:270000(성수기: 0)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:Y
소파:Y
취사용품:Y
테이블:Y
드라이기:Y
",,False,True,,True,14:00,,14:00,10:00,,10:00,,,
66,티파니에서 아침을,63618,,064-764-9669,제주특별자치도 서귀포시 남원읍 서의로154번길 12,33.3050243273,126.7121889669,"세계적인 통나무 주택 공급사인 스위스 VALMIS SA와핀란드의 STEUEROY의 한국대표 한국발미스가 직접 시공한 정통 스위스 통나무 주택의 웅장함을 확인할 수 있을 것이다. 건축의 디자인에 맞추어 핀란드에서 제작된 핀란드 홍송으로 제작된 통나무 주택과 프랑스 BIEBER사의 원목 시스템 창호가 안전성과 품격을 더해 방문객을 편하게 하고 있다. 웰빙이 유행하는 요즘, 통나무 주택만의 매력은 아침의 개운함을 느낄 수 있고, 피로회복의 탁월함과 스트레스 및 피로에 지친 심신을 달래기에 더할 나위 없는 장소일 것이다.
봄에는 바람에 날리는 밀감꽃 향기, 그리고 가을에는 탐스럽게 익은 제주 감귤농원이  눈아래 넓게 펼쳐진 곳에서  산새소리와 함께 아침을 맞을 수 있다. 야자숲과 넓은 잔디정원, 인터넷이나 DVD 영화 감상 그리고 각종 meeting과 행사가 가능한 넓은 cafe 문리버가 있다.",,,9.0,"스탠다드 더블, 디럭스 더블, 디럭스 트윈, 가족실","064-764-9669, 064-764-9779",,,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:디럭스 트윈
객실크기:13평
객실수:0
기준인원:2최대인원:4
※ 위 정보는 2023년 06월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:115000(성수기: 150000)
비수기주말최소:115000(성수기: 150000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:가족룸
객실크기:15평
객실수:0
기준인원:4최대인원:6
※ 위 정보는 2023년 06월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:130000(성수기: 170000)
비수기주말최소:130000(성수기: 170000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
객실명:디럭스 더블 (룸2,3,4)
객실크기:11평
객실수:0
기준인원:2최대인원:3
※ 위 정보는 2023년 06월에 작성된 정보로(정상요금), 해당 숙박시설 이용요금이 수시로 변동됨에 따라 이용요금 및 기타 자세한 사항은 홈페이지 참조 요망
비수기주중최소:110000(성수기: 130000)
비수기주말최소:110000(성수기: 130000)
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:Y
테이블:Y
드라이기:Y
",,False,True,,True,15:00,,15:00,11:00,,11:00,http://www.jejutiffany.com,,
67,오션스위츠 제주호텔,63165,,064-720-6000,제주특별자치도 제주시 탑동해안로 74,33.5183727266,126.5231255322,"제주 국제공항과 제주항에서 8분 거리에 위치한 오션스위츠 제주호텔은  제주의 바다와 인접해있다. 현대식으로 신축된 객실을 비롯한 편리한 시설을 갖추고 있으며 품격 높은 서비스를 제공하는 오션스위츠 제주호텔은 제주의 전통문화. 해변공연장을 비롯한 수준 높은 문화시설, 관광과 레저를 손쉽게 이용할 수 있는 편리한 교통의 요지에 위치하고 있다. 
오션스위츠 제주호텔은 지상 11층, 지하 2층의 규모로 안락하고 편안한 객실 350개를 보유하고 있으며 객실은 깨끗함과 안락함을 느낄 수 있도록 현대적인 감각에 발맞춰 모던하고 심플하게 꾸며져 있다. 고객을 한 번 더 생각하는 서비스를 통해 편안하게 머무를 수 있도록 모든 편의를 제공하고 있다.",지상11층 /지하2층,,350.0,"코지, 스탠다드, 투룸패밀리, 디럭스, 캐릭터룸, 럭셔리, 키즈 스위트, 코너 스위트, 팔러 스위트, 프레지덴샬 스위트","1577-9766, 064-720-6000","블루오션(레스토랑 2F), 베터플랫(베이커리 1F), 바(1F), 오델리(1F)","관광정보센터(1F), 피트니스 센터(11F), 테라피(10F), 편의점(1F), 북클럽(1F), 코인세탁방(1F), 웨딩홀, 연회장",없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:코지(더블/트윈)
객실크기:7평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망 
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:스탠다드(산전망/바다전망)
객실크기:9평
객실수:0
기준인원:2최대인원:2
※ 객실 가격 전화문의 요망 
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:Y
드라이기:Y
객실명:투룸 패밀리
객실크기:13평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망 
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:디럭스
객실크기:14평
객실수:0
기준인원:0최대인원:0
※ 객실 가격 전화문의 요망 
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:키즈 스위트
객실크기:13평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망 
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:코너 스위트
객실크기:18평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망 
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:팔러 스위트
객실크기:25평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망 
목욕시설:Y
욕조:Y
홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
객실명:프레지덴셜 스위트
객실크기:44평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망 
목욕시설:Y
욕조:Y
홈시어터:Y
에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:Y
냉장고:Y
세면도구:Y
소파:Y
취사용품:테이블:Y
드라이기:Y
",,False,True,,False,15:00,,15:00,12:00,,12:00,http://www.oceansuites.kr,사전에 미리 전화로 예약,True
68,함덕삼다펜션,63333,,064-782-1700,제주특별자치도 제주시 조천읍 조함해안로 488,33.5427778482,126.6649015424,"제주도 제주시 조천읍에 위치한 함덕삼다펜션은 콘도형민박펜션으로 10평형, 12평형, 15평형, 20평형 등 다양한 객실 유형이 있다.",4층,,8.0,"10평형, 12평형, 15평형, 20평형",064-782-1700,식당(1F),편의점(1F),없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:10평형
객실크기:10평
객실수:0
기준인원:2최대인원:3
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:Y
드라이기:Y
객실명:12평형
객실크기:12평
객실수:0
기준인원:2최대인원:3
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:Y
드라이기:Y
객실명:15평형
객실크기:15평
객실수:0
기준인원:2최대인원:3
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:Y
드라이기:Y
객실명:20평형
객실크기:20평
객실수:0
기준인원:3최대인원:4
※ 객실 가격 전화문의 요망
목욕시설:Y
욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:Y
인터넷:냉장고:Y
세면도구:소파:취사용품:테이블:Y
드라이기:Y
",,False,True,,False,14:00,,14:00,12:00,,12:00,,,
69,미도모텔,63643,,064-782-0820,제주특별자치도 서귀포시 성산읍 성산등용로 1,33.4641769864,126.9336078135,제주의 동녘끝 영주 십경 중 제일경인 성산 일출봉이 소재한 곳. 일출의 장엄함을 감상할 수 있는 위치에 있습니다. 일출봉까지는 도보 5분 거리에 있고 우도로 가는 도선 선착장까지는 도보로 10분 거리에 있으며 섭지코지까지는 차량으로 5분 거리에 위치하고 있으며 모든 시설이 완비된 업소이다.,,,14.0,,064-782-0820,,,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,없음,"객실명:온돌방
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망
목욕시설:욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:객실명:침대방
객실크기:0평
객실수:0
기준인원:2최대인원:0
※ 객실 가격 전화문의 요망
목욕시설:욕조:홈시어터:에어컨:Y
TV:Y
PC:케이블설치:인터넷:Y
냉장고:Y
세면도구:Y
소파:취사용품:테이블:드라이기:",,False,True,,False,14:00,,14:00,12:00,,12:00,,,
